,par,session,order,start,end,start_hms,end_hms,place_1,place_2,activity
1,7,reg,99,1188,1204,19M 48S,20M 4S,co,,
2,15,reg,465,2372,2378,39M 32S,39M 38S,oven,,
3,16,reg,30,180,190,3M 0S,3M 10S,co,,
4,16,reg,88,500,682,8M 20S,11M 22S,co,,
5,16,reg,142,988,990,16M 28S,16M 30S,co,,
6,16,new,55,1994,2000,33M 14S,33M 20S,oven,,
7,18,new,790,4682,4696,1H 18M 2S,1H 18M 16S,oven,,
8,NA,NA,NA,NA,NA,NA,NA,,,
9,7,reg,94,1126,1142,18M 46S,19M 2S,,,
10,7,reg,96,1146,1184,19M 6S,19M 44S,,,
11,7,reg,121,4178,4226,1H 9M 38S,1H 10M 26S,,,
12,15,reg,310,1456,1480,24M 16S,24M 40S,,,
13,15,reg,315,1486,1492,24M 46S,24M 52S,,,
14,15,reg,319,1496,1500,24M 56S,25M 0S,,,
15,15,reg,382,1988,1992,33M 8S,33M 12S,,,
16,15,reg,384,2000,2002,33M 20S,33M 22S,,,
17,15,reg,469,2384,2512,39M 44S,41M 52S,,,
18,15,reg,512,2994,3004,49M 54S,50M 4S,,,
19,16,reg,2,68,70,1M 8S,1M 10S,,,
20,16,reg,12,114,118,1M 54S,1M 58S,,,
21,16,reg,16,120,130,2M 0S,2M 10S,,,
22,16,reg,20,138,140,2M 18S,2M 20S,,,
23,16,reg,26,158,164,2M 38S,2M 44S,,,
24,16,reg,34,196,246,3M 16S,4M 6S,,,
25,16,reg,42,278,288,4M 38S,4M 48S,,,
26,16,reg,50,330,366,5M 30S,6M 6S,,,
27,16,reg,62,426,434,7M 6S,7M 14S,,,
28,16,reg,69,472,482,7M 52S,8M 2S,,,
29,16,reg,72,486,490,8M 6S,8M 10S,,,
30,16,reg,98,742,758,12M 22S,12M 38S,,,
31,16,reg,107,842,844,14M 2S,14M 4S,,,
32,16,reg,113,850,864,14M 10S,14M 24S,,,
33,16,reg,118,872,874,14M 32S,14M 34S,,,
34,16,reg,122,876,880,14M 36S,14M 40S,,,
35,16,reg,126,886,894,14M 46S,14M 54S,,,
36,16,reg,130,898,924,14M 58S,15M 24S,,,
37,16,reg,137,964,970,16M 4S,16M 10S,,,
38,16,reg,149,1026,1048,17M 6S,17M 28S,,,
39,16,reg,152,1064,1086,17M 44S,18M 6S,,,
40,16,reg,171,1330,1336,22M 10S,22M 16S,,,
41,16,new,57,2000,2004,33M 20S,33M 24S,,,
42,16,new,151,2694,2702,44M 54S,45M 2S,,,
43,16,new,156,2708,2732,45M 8S,45M 32S,,,
44,16,new,159,2738,2742,45M 38S,45M 42S,,,
45,16,new,162,2742,2754,45M 42S,45M 54S,,,
46,16,new,298,3918,3922,1H 5M 18S,1H 5M 22S,,,
47,16,new,300,3924,3932,1H 5M 24S,1H 5M 32S,,,
48,18,new,460,2340,2366,39M 0S,39M 26S,,,
49,18,new,524,2542,2544,42M 22S,42M 24S,,,
50,18,new,545,2696,2706,44M 56S,45M 6S,,,
51,18,new,609,3152,3184,52M 32S,53M 4S,,,
52,18,new,757,4478,4498,1H 14M 38S,1H 14M 58S,,,
