,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,
51,1,1,reg,0,35,262,264,4M 22S,4M 24S,carton,,package
1218,2,6,reg,0,121,1488,1518,24M 48S,25M 18S,carton,,
5916,3,8,reg,0,121,942,946,15M 42S,15M 46S,plastic,,
1329,4,10,reg,0,13,96,106,1M 36S,1M 46S,carton,,
5219,5,11,reg,0,4,76,78,1M 16S,1M 18S,carton,,
1460,6,15,reg,0,14,88,90,1M 28S,1M 30S,carton,,
10100,7,18,reg,0,10,88,92,1M 28S,1M 32S,carton,,
17222,8,3,new,0,172,2196,2204,36M 36S,36M 44S,carton,,
44161,9,8,new,0,26,278,324,4M 38S,5M 24S,carton,,
10591,10,11,new,0,190,2090,2098,34M 50S,34M 58S,carton,,
37361,11,12,new,1,23,242,262,4M 2S,4M 22S,carton,,
37941,12,12,new,2,385,4898,4910,1H 21M 38S,1H 21M 50S,carton,,
266101,13,15,new,0,266,1646,1786,27M 26S,29M 46S,carton,,
101001,14,18,new,0,10,130,136,2M 10S,2M 16S,carton,,
