,participant,session,order,start,end,start_hms,end_hms,place,activity,activity 2
1,9,reg,157,1108,1118,18M 28S,18M 38S,co,hold,
2,13,reg,63,436,484,7M 16S,8M 4S,co,portion,
3,14,reg,165,1298,1306,21M 38S,21M 46S,stove,add,
4,15,reg,177,906,908,15M 6S,15M 8S,co,place,
5,17,reg,310,3146,3150,52M 26S,52M 30S,co,stir/mix,
6,17,reg,426,3762,3764,1H 2M 42S,1H 2M 44S,stove,put an item,
7,20,reg,73,428,430,7M 8S,7M 10S,co,reposition,
8,20,reg,444,2920,2936,48M 40S,48M 56S,co,add,
9,20,reg,467,3076,3078,51M 16S,51M 18S,co,reposition,
10,4,new,341,2934,2954,48M 54S,49M 14S,stove,add,
11,8,new,23,234,242,3M 54S,4M 2S,table,portion/measure,
12,9,new,328,1904,1972,31M 44S,32M 52S,co,sense,
13,10,new,654,5560,5564,1H 32M 40S,1H 32M 44S,co,add,portion
14,10,new,749,6138,6144,1H 42M 18S,1H 42M 24S,stove,add,portion
15,14,new,147,916,918,15M 16S,15M 18S,co,add,place/show
16,15,new,349,2176,2182,36M 16S,36M 22S,stove,add,
17,20,new,172,4512,4532,1H 15M 12S,1H 15M 32S,co,sense?,
18,NA,NA,NA,NA,NA,NA,NA,,,
19,14,reg,155,1252,1254,20M 52S,20M 54S,,,
20,14,reg,156,1252,1262,20M 52S,21M 2S,,,
21,14,reg,244,2366,2374,39M 26S,39M 34S,,,
22,14,reg,245,2370,2374,39M 30S,39M 34S,,,
23,14,reg,458,3788,3804,1H 3M 8S,1H 3M 24S,,,
24,14,reg,468,3822,3824,1H 3M 42S,1H 3M 44S,,,
25,14,reg,498,4022,4030,1H 7M 2S,1H 7M 10S,,,
26,15,reg,8,50,52,50S,52S,,,
27,15,reg,169,860,876,14M 20S,14M 36S,,,
28,15,reg,240,1128,1136,18M 48S,18M 56S,,,
29,15,reg,255,1218,1240,20M 18S,20M 40S,,,
30,15,reg,444,2274,2278,37M 54S,37M 58S,,,
31,17,reg,248,2716,2722,45M 16S,45M 22S,,,
32,17,reg,255,2800,2812,46M 40S,46M 52S,,,
33,17,reg,262,2868,2888,47M 48S,48M 8S,,,
34,17,reg,268,2902,2904,48M 22S,48M 24S,,,
35,17,reg,273,2922,2938,48M 42S,48M 58S,,,
36,17,reg,280,2964,2970,49M 24S,49M 30S,,,
37,17,reg,289,3016,3020,50M 16S,50M 20S,,,
38,17,reg,298,3052,3062,50M 52S,51M 2S,,,
39,17,reg,302,3076,3118,51M 16S,51M 58S,,,
40,17,reg,316,3164,3174,52M 44S,52M 54S,,,
41,17,reg,363,3446,3452,57M 26S,57M 32S,,,
42,17,reg,386,3536,3546,58M 56S,59M 6S,,,
43,17,reg,400,3602,3612,1H 0M 2S,1H 0M 12S,,,
44,17,reg,420,3748,3750,1H 2M 28S,1H 2M 30S,,,
45,17,reg,472,4048,4050,1H 7M 28S,1H 7M 30S,,,
46,17,reg,475,4062,4064,1H 7M 42S,1H 7M 44S,,,
47,20,reg,28,158,162,2M 38S,2M 42S,,,
48,20,reg,34,214,240,3M 34S,4M 0S,,,
49,20,reg,65,370,374,6M 10S,6M 14S,,,
50,20,reg,69,386,400,6M 26S,6M 40S,,,
51,20,reg,238,1742,1744,29M 2S,29M 4S,,,
52,20,reg,246,1880,1882,31M 20S,31M 22S,,,
53,20,reg,271,2016,2024,33M 36S,33M 44S,,,
54,20,reg,282,2036,2038,33M 56S,33M 58S,,,
55,20,reg,334,2390,2398,39M 50S,39M 58S,,,
56,20,reg,361,2470,2474,41M 10S,41M 14S,,,
57,20,reg,366,2476,2482,41M 16S,41M 22S,,,
58,20,reg,379,2522,2528,42M 2S,42M 8S,,,
59,20,reg,423,2834,2838,47M 14S,47M 18S,,,
60,20,reg,425,2842,2844,47M 22S,47M 24S,,,
61,20,reg,426,2852,2854,47M 32S,47M 34S,,,
62,20,reg,445,2938,2952,48M 58S,49M 12S,,,
63,20,reg,447,2960,2986,49M 20S,49M 46S,,,
64,20,reg,456,3000,3008,50M 0S,50M 8S,,,
65,20,reg,459,3026,3030,50M 26S,50M 30S,,,
66,20,reg,474,3116,3122,51M 56S,52M 2S,,,
67,4,new,329,2862,2870,47M 42S,47M 50S,,,
68,8,new,16,194,230,3M 14S,3M 50S,,,
69,8,new,93,940,948,15M 40S,15M 48S,,,
70,9,new,183,1130,1140,18M 50S,19M 0S,,,
71,9,new,250,1432,1454,23M 52S,24M 14S,,,
72,10,new,524,4620,4640,1H 17M 0S,1H 17M 20S,,,
73,10,new,548,4764,4770,1H 19M 24S,1H 19M 30S,,,
74,10,new,558,4824,4828,1H 20M 24S,1H 20M 28S,,,
75,10,new,568,4954,4958,1H 22M 34S,1H 22M 38S,,,
76,10,new,597,5188,5192,1H 26M 28S,1H 26M 32S,,,
77,10,new,642,5474,5476,1H 31M 14S,1H 31M 16S,,,
78,10,new,697,5828,5832,1H 37M 8S,1H 37M 12S,,,
79,10,new,713,5920,5922,1H 38M 40S,1H 38M 42S,,,
80,10,new,739,6070,6074,1H 41M 10S,1H 41M 14S,,,
81,10,new,803,6478,6480,1H 47M 58S,1H 48M 0S,,,
82,14,new,160,1052,1056,17M 32S,17M 36S,,,
83,14,new,228,1644,1646,27M 24S,27M 26S,,,
84,14,new,253,1796,1842,29M 56S,30M 42S,,,
85,15,new,8,90,96,1M 30S,1M 36S,,,
86,15,new,13,124,128,2M 4S,2M 8S,,,
87,15,new,18,132,134,2M 12S,2M 14S,,,
88,15,new,19,138,142,2M 18S,2M 22S,,,
89,15,new,23,148,172,2M 28S,2M 52S,,,
90,15,new,55,284,288,4M 44S,4M 48S,,,
91,15,new,57,298,306,4M 58S,5M 6S,,,
92,15,new,313,1940,1946,32M 20S,32M 26S,,,
93,15,new,373,2322,2332,38M 42S,38M 52S,,,
