,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,,,
124,1,1,reg,small_1,5,24,42,24S,42S,regular,metal,,,
134,2,1,reg,small_2,20,142,146,2M 22S,2M 26S,regular,metal,,,
1102,6,3,reg,0,1,8,26,8S,26S,regular,metal,,,
823,7,4,reg,small,74,782,786,13M 2S,13M 6S,small,,,,
863,8,4,reg,large,78,796,800,13M 16S,13M 20S,large,,,,
1092,9,4,reg,0,134,1292,1296,21M 32S,21M 36S,regular,,,,
6413,10,5,reg,0,64,1212,1214,20M 12S,20M 14S,regular,,,,
1773,11,6,reg,0,61,854,872,14M 14S,14M 32S,regular,,,,
453,12,9,reg,small,453,3358,3370,55M 58S,56M 10S,small,,,,
2067,13,11,reg,0,14,134,140,2M 14S,2M 20S,regular,,,,
3501,14,12,reg,0,384,4004,4014,1H 6M 44S,1H 6M 54S,large,,,,
2436,15,13,reg,large,28,198,202,3M 18S,3M 22S,regular,,,,
3155,16,13,reg,xl,58,416,420,6M 56S,7M 0S,large,,,,
3145,17,13,reg,small,276,1788,1798,29M 48S,29M 58S,small,,,,
22115,18,14,reg,0,221,2230,2234,37M 10S,37M 14S,large,,,,
11101,19,15,reg,small,11,84,88,1M 24S,1M 28S,regular,,,,
7814,20,15,reg,large,78,362,366,6M 2S,6M 6S,large,,,,
8816,21,17,reg,1,88,1216,1222,20M 16S,20M 22S,regular,,,,
15913,22,17,reg,2,159,2010,2026,33M 30S,33M 46S,regular,,,,
2940,23,18,reg,0,822,874,180,2M 56S,3M 0S,regular,,,,
4148,24,19,reg,0,4,16,20,16S,20S,regular,,,,
3858,25,20,reg,0,21,132,140,2M 12S,2M 20S,large,,,,
12105,26,1,new,small,12,84,102,1M 24S,1M 42S,small,,,,
33915,27,2,new,1,28,266,284,4M 26S,4M 44S,regular,,,,
34015,28,2,new,2,138,2214,2226,36M 54S,37M 6S,regular,,,,
341110,29,2,new,small,205,2728,2730,45M 28S,45M 30S,small,,,,
11025,30,3,new,0,1,12,26,12S,26S,small,,,,
8831,31,4,new,two_handles,158,1644,1652,27M 24S,27M 32S,regular,,,,
8931,32,4,new,large,191,1914,1918,31M 54S,31M 58S,large,,,,
16641,33,5,new,0,4,26,28,26S,28S,regular,,,,
22231,34,6,new,small,35,790,794,13M 10S,13M 14S,small,,,,
11201,35,7,new,0,1,46,52,46S,52S,small,,,,
35441,36,9,new,xsmall,28,344,346,5M 44S,5M 46S,small,,,,
35531,37,9,new,0,30,354,394,5M 54S,6M 34S,regular,,,,
35631,38,9,new,large,48,464,468,7M 44S,7M 48S,large,,,,
31651,39,10,new,0,316,3232,3240,53M 52S,54M 0S,large,,,,
42331,40,11,new,1,47,656,658,10M 56S,10M 58S,regular,,,,
45521,41,11,new,2,66,798,804,13M 18S,13M 24S,regular,,,,
94101,42,12,new,0,514,7060,7076,1H 57M 40S,1H 57M 56S,large,,,,
232111,43,13,new,1,232,930,938,15M 30S,15M 38S,regular,,,,
351141,44,13,new,large,351,1306,1316,21M 46S,21M 56S,large,,,,
352111,45,13,new,small,352,1306,1314,21M 46S,21M 54S,regular,,,,
24401,46,14,new,0,24,166,174,2M 46S,2M 54S,large,,,,
31601,47,15,new,0,3,58,60,58S,1M 0S,regular,,,,
153131,48,15,new,small,153,950,952,15M 50S,15M 52S,small,,,,
41781,49,17,new,unused_2,2,4,12,4S,12S,large,,,,
41881,50,17,new,unused_1,54,1034,1040,17M 14S,17M 20S,large,,,,
41981,51,17,new,aluminun,74,1496,1498,24M 56S,24M 58S,small,,,,
421161,52,17,new,large,409,4600,4602,1H 16M 40S,1H 16M 42S,large,,,,
49361,53,18,new,0,49,324,348,5M 24S,5M 48S,regular,,,,
198151,54,19,new,0,198,1594,1632,26M 34S,27M 12S,large,,,,
114191,55,20,new,0,25,3612,3622,1H 0M 12S,1H 0M 22S,regular,,,,
